"region, GeV",lambda=0.05,lambda=0.1,lambda=0.2,lambda=0.3,lambda=0.4,lambda=0.5
50-inf,"(6.704788485442814e-10, 1.2931996884850643e-12)","(6.88903665525995e-10, 1.1425101711424249e-12)","(7.129741820428595e-10, 1.4907116825857737e-12)","(7.307429304959226e-10, 8.408798391183567e-13)","(7.455455282929759e-10, 9.660452185412792e-13)","(7.585640435077817e-10, 1.0804028197443898e-12)"
5-50,"(4.654258078611534e-09, 7.998814753908037e-13)","(4.821072885778225e-09, 9.070140672083845e-13)","(5.054399910174121e-09, 1.0613390345041116e-12)","(5.237398626762744e-09, 1.1833836106945606e-12)","(5.396238787632875e-09, 1.2898644674842798e-12)","(5.540164097916417e-09, 1.3866698641263277e-12)"
1-5,"(2.196233281952961e-08, 2.0184180300385523e-13)","(2.3714673835176795e-08, 3.1327191845403437e-13)","(2.6320369939566805e-08, 4.993479726569714e-13)","(2.8451614740939422e-08, 6.610997749191514e-13)","(3.0327807235047196e-08, 8.038664819314624e-13)","(3.202159774311585e-08, 9.2975428741742e-13)"
thr-1,"(5.5301495297839385e-08, 7.170012014377023e-13)","(6.446494124155266e-08, 8.843716753354908e-13)","(7.854664374934679e-08, 1.1418087311923032e-12)","(8.995826210120358e-08, 1.3484422419508052e-12)","(9.956835545330486e-08, 1.128088345523867e-12)","(1.0772730755055258e-07, 1.2349729052086283e-12)"
total:,0.000000082588565,0.000000093689592,0.000000110634388,0.000000124378018,0.000000136037947,0.000000146047633
