"region, GeV",lambda=0.05,lambda=0.1,lambda=0.2,lambda=0.3,lambda=0.4,lambda=0.5
50-inf,"(6.741470502889925e-10, 1.3769582851129038e-12)","(6.942923616974775e-10, 1.213478633178366e-12)","(7.211828309706532e-10, 7.548310513838206e-13)","(7.413837672210877e-10, 9.183538362380554e-13)","(7.583805876515636e-10, 1.0637081132291555e-12)","(7.734100341657208e-10, 1.1981631005198677e-12)"
5-50,"(4.6953384331195105e-09, 8.268382295203637e-13)","(4.885098877612706e-09, 9.503328919352186e-13)","(5.154840169378246e-09, 1.1292584574861969e-12)","(5.3659293958080006e-09, 1.2697586673190828e-12)","(5.5464059021811016e-09, 1.3898776561074598e-12)","(5.706586072984574e-09, 1.4963123554996475e-12)"
1-5,"(2.245743903516824e-08, 2.337320005575884e-13)","(2.448714447305467e-08, 3.6546397093256816e-13)","(2.7439340154746425e-08, 5.700719504432353e-13)","(2.9723725238533888e-08, 7.297840828289897e-13)","(3.1621566287537216e-08, 8.595895591452428e-13)","(3.324927567338033e-08, 9.679194290650396e-13)"
thr-1,"(5.80169207055222e-08, 7.665458581981861e-13)","(6.842451444221174e-08, 9.551979120323334e-13)","(8.320898805777165e-08, 1.2209722771751747e-12)","(9.404071273218289e-08, 1.413321102794721e-12)","(1.0255377150400432e-07, 1.1637302919564173e-12)","(1.0949462524734669e-07, 1.25461048366101e-12)"
total:,0.000000085843845,0.00000009849105,0.000000116524351,0.000000129871751,0.000000140480124,0.000000149223897
